city,city_ascii,state_id,state_name,county_name,lat,lng,zips
Buckner,Buckner,MO,Missouri,Jackson,39.1335,-94.1929,64016
Lakemore,Lakemore,OH,Ohio,Summit,41.0215,-81.4263,44250 44312
Taylor,Taylor,AL,Alabama,Houston,31.1658,-85.4697,36301 36305
Ocean Grove,Ocean Grove,NJ,New Jersey,Monmouth,40.2119,-74.0083,07756
Florida,Florida,NY,New York,Orange,41.3312,-74.3533,10921
Wales,Wales,WI,Wisconsin,Waukesha,43.0042,-88.374,53183
North Fork,North Fork,CA,California,Madera,37.2306,-119.5199,93669 93643
Delphi,Delphi,IN,Indiana,Carroll,40.5834,-86.6668,46923
Heritage Lake,Heritage Lake,IN,Indiana,Putnam,39.7288,-86.7122,46128 46121
Oxoboxo River,Oxoboxo River,CT,Connecticut,Southeastern Connecticut,41.4441,-72.1249,06370 06353 06382
Lake City,Lake City,GA,Georgia,Clayton,33.6065,-84.3411,30260
Union City,Union City,PA,Pennsylvania,Erie,41.897,-79.8437,16438
Cedar Grove,Cedar Grove,FL,Florida,Bay,30.1812,-85.6268,32401 32405
Pima,Pima,AZ,Arizona,Graham,32.8886,-109.8437,85543
Arkwright,Arkwright,SC,South Carolina,Spartanburg,34.9131,-81.9395,29376 29306
Desert Hills,Desert Hills,AZ,Arizona,Mohave,34.5506,-114.3754,86404
Mount Gilead,Mount Gilead,OH,Ohio,Morrow,40.5532,-82.828,43338
Lake Shastina,Lake Shastina,CA,California,Siskiyou,41.5213,-122.3756,96094
Marion,Marion,KY,Kentucky,Crittenden,37.3321,-88.0795,42064
Brandenburg,Brandenburg,KY,Kentucky,Meade,37.9956,-86.1773,40108
Troy,Troy,NC,North Carolina,Montgomery,35.365,-79.8918,27371
Amesti,Amesti,CA,California,Santa Cruz,36.9583,-121.7805,95076
Hamilton,Hamilton,TX,Texas,Hamilton,31.6997,-98.1208,76531
Akron,Akron,NY,New York,Erie,43.018,-78.4978,14001
Mascot,Mascot,TN,Tennessee,Knox,36.0673,-83.7649,37924 37806
North Seekonk,North Seekonk,MA,Massachusetts,Bristol,41.8883,-71.3297,02771
Lula,Lula,GA,Georgia,Hall,34.3955,-83.6659,30554
Lake Junaluska,Lake Junaluska,NC,North Carolina,Haywood,35.5305,-82.9749,28745 28785 28786
Cutchogue,Cutchogue,NY,New York,Suffolk,41.0168,-72.4871,11935
Statham,Statham,GA,Georgia,Barrow,33.9647,-83.6018,30666
Stamford,Stamford,TX,Texas,Haskell,33.0156,-99.6716,79553 79521
Goldsby,Goldsby,OK,Oklahoma,McClain,35.1308,-97.4783,73093 73072
Columbus,Columbus,KS,Kansas,Cherokee,37.1716,-94.844,66725
Soperton,Soperton,GA,Georgia,Treutlen,32.3782,-82.5945,30457
Lake City,Lake City,PA,Pennsylvania,Erie,42.018,-80.3465,16423
Diamond,Diamond,IL,Illinois,Grundy,41.2852,-88.2507,60481 60416
Winner,Winner,SD,South Dakota,Tripp,43.3776,-99.8552,57580
Oak Trail Shores,Oak Trail Shores,TX,Texas,Hood,32.4885,-97.8357,76048
